NAME,QTY
KVM-Коммуникатор 2port D-Link KVM-221/RU,1
"KVM-Коммуникатор 3port LANBERG SWV-HDMI-0003 (3xHDMI, Micro USB, Remote Controller)",2
KVM-Коммуникатор 4port D-Link DKVM-4U/C1A,1
"Автоматический стабилизатор напряжения SVEN VR-L1500 (500W, 2xCEE7/4+1xІЕС 320)",1
"Адаптер Bluetooth Asus USB-BT400 (USB, 10м)",1
"Адаптер Bluetooth TP-Link UB500 (USB, BT 5.0+EDR, 20м)",1
Адаптер Buro BU-DVI-VGA DVI-D(M)->VGA(F) BLACK,2
"Адаптер Buro BU-HDMI(F)-DP(M) DisplayPort(M) -> HDMI(F), Black",5
Адаптер LANBERG AD-0006-BK DISPLAYPORT MINI(M)->VGA(F) BLACK,3
Адаптер LANBERG AD-0007-BK DISPLAYPORT(M)->DVI-D(F) (24+5) DUAL LINK,4
Адаптер LANBERG AD-0009-BK DISPLAYPORT(M)->HDMI(F) 10CM,1
Адаптер LANBERG AD-0015-BK HDMI-A(F)->MICRO HDMI-D(M),5
Адаптер LANBERG AD-0017-BK HDMI-A(M)->VGA(F)+AUDIO ON CABLE,4
Адаптер LANBERG AD-0019-BK HDMI-AM->HDMI-AF X2 SPLITTER 20CM,3
Адаптер LANBERG AD-0028-W USB->LPT 1.4M WHITE,1
"Адаптер LANBERG AD-0033-BK HDMI-AM->HDMI-AF (90 degrees, Down)",3
"Адаптер LANBERG AD-0036-BK HDMI-AM->HDMI-AF (90 degrees, Right)",6
Адаптер LANBERG AD-LM-UM-01 MICRO USB 2.0 TYPE-A(M)->TYPE-LIGHTNING(F) (Black),2
Адаптер LANBERG AD-LM-UM-02 MICRO USB 2.0 TYPE-A(F)->TYPE-LIGHTNING(M) (Black),2
"Адаптер LANBERG AD-OTG-UM-01 MICRO USB 2.0 TYPE-C(M)->TYPE-A(F) (15cm, Black)",6
Адаптер LANBERG AD-UC-VG-01 USB TYPE-C->VGA,1
"Адаптер Ugreen 20122 (DVI(24+5)(M) to VGA(F), Black)",8
"Адаптер Ugreen 20415 (DP(M)->VGA(F), Black)",2
"Адаптер Ugreen 30843 (USB Type-C (M) -> HDMI(F), VGA(F), White)",3
Адаптер Ugreen 40259 (DVI-D(M) to VGA(F)),3
"Адаптер Ugreen 90813 (HDMI(M)->VGA(F)+3.5m Audio, Black)",4
Адаптер игровой Genesis NAG-1390 TIN 200 FOR XONE/PS4/PS3/SWITCH CONSOLE,3
