NAME,SOLD,COST
"Адаптер Bluetooth Asus USB-BT400 (USB, 10м)",1,11.25
"Адаптер Bluetooth ASUS USB-BT500 (USB, Bluetooth 5.0+EDR)",5,14.67
"Адаптер Bluetooth TP-Link UB400 (USB, Class 2, 10м)",9,9.91
"Адаптер Bluetooth TP-Link UB400 (USB, Class 2, 10м)",2,10.75
"Адаптер Bluetooth TP-Link UB500 (USB, BT 5.0+EDR, 20м)",2,14.06
"Адаптер Bluetooth TP-Link UB500 (USB, BT 5.0+EDR, 20м)",1,13.08
Адаптер Bluetooth Ugreen 35995,3,12.32
Адаптер Buro BU-DVI-VGA DVI-D(M)->VGA(F) BLACK,5,5.9
"Адаптер Buro BU-HDMI(F)-DP(M) DisplayPort(M) -> HDMI(F), Black",2,11.79
Адаптер Buro HDMI-M-VGA-F HDMI(M)->VGA(F) BLACK,2,9.23
"Адаптер CrownMicro CMU3-20 (2xUSB 3.0, 5.25"", 20pin)",2,12.5
"Адаптер CrownMicro CMU3-21 (2xUSB 3.0, 3.5"", 20pin)",4,8.5
Адаптер LANBERG AD-0007-BK DISPLAYPORT(M)->DVI-D(F) (24+5) DUAL LINK,1,7.69
Адаптер LANBERG AD-0009-BK DISPLAYPORT(M)->HDMI(F) 10CM,3,5.78
Адаптер LANBERG AD-0015-BK HDMI-A(F)->MICRO HDMI-D(M),5,0.77
Адаптер LANBERG AD-0017-BK HDMI-A(M)->VGA(F)+AUDIO ON CABLE,10,6.54
Адаптер LANBERG AD-0017-BK HDMI-A(M)->VGA(F)+AUDIO ON CABLE,7,4.76
Адаптер LANBERG AD-0019-BK HDMI-AM->HDMI-AF X2 SPLITTER 20CM,3,8.46
Адаптер LANBERG AD-0028-W USB->LPT 1.4M WHITE,1,3.59
"Адаптер LANBERG AD-0033-BK HDMI-AM->HDMI-AF (90 degrees, Down)",2,1.54
"Адаптер LANBERG AD-0033-BK HDMI-AM->HDMI-AF (90 degrees, Down)",1,1.28
"Адаптер LANBERG AD-OTG-UM-01 MICRO USB 2.0 TYPE-C(M)->TYPE-A(F) (15cm, Black)",1,2.5
"Адаптер Ugreen 20122 (DVI(24+5)(M) to VGA(F), Black)",2,3
"Адаптер Ugreen 20415 (DP(M)->VGA(F), Black)",2,8.88
Адаптер Ugreen 40259 (DVI-D(M) to VGA(F)),4,9.84
"Адаптер Ugreen 90813 (HDMI(M)->VGA(F)+3.5m Audio, Black)",1,7.69
Адаптер-удлинитель Ugreen 30718 (RJ45(F) - RJ45(F)),4,2.44
"Аккумулятор для ИБП Armac 12V, 7AH",7,15.14
"Аккумулятор для ИБП Armac 12V, 9AH",7,20.71
"Аккумулятор для ИБП CrownMicro 12V, 12AH",2,31.75
"Аккумулятор для ИБП CrownMicro 12V, 12AH",5,31.6
"Аккумулятор для ИБП CrownMicro 12V, 5.0AH",1,13.33
"Аккумулятор для ИБП CrownMicro 12V, 5.0AH",16,11.03
"Аккумулятор для ИБП CrownMicro 12V, 7.2AH",1,15.38
"Аккумулятор для ИБП CrownMicro 12V, 9.2AH",2,25.06
"Аккумулятор для ИБП CrownMicro 12V, 9.2AH",1,17.95
Аккумулятор для ИБП CSB GP1270 for APC (12V/17AH),4,75.64
"Аккумулятор для ИБП Lightwave 12V, 12AH",3,21.45
"Аккумулятор для ИБП Lightwave 12V, 18AH",10,31.28
"Аккумулятор для ИБП Lightwave 12V, 7.5AH",60,13.08
"Аккумулятор для ИБП Lightwave 12V, 7.5AH",29,13.46
"Аккумулятор для ИБП Lightwave 12V, 9AH",87,15.84
"Аккумулятор для ИБП Lightwave 12V, 9AH",27,17.43
Аккумулятор для ИБП Mercury 12V-7.5AH,34,16.4
Аккумулятор для ИБП Mercury 12V-7.5AH,35,15.16
Аккумулятор для ИБП Mercury 12V-9AH,78,18.93
Аккумулятор для ИБП Mercury 12V-9AH,23,22.36
"Аккумулятор для ИБП Powercom PM-12-7.2 (12V, 7.2AH)",1,17.25
"Аккумулятор для ИБП Powercom PM-12-7.2 (12V, 7.2AH)",1,15.75
"Аккумулятор для ИБП SVEN SV 1272 12V, 7.2AH",21,16.21
"Аккумулятор для ИБП Контакт КТ 12-7.2 12V, 7.2AH",17,12.77
"Аккумулятор для ИБП Контакт КТ 12-7.2 12V, 7.2AH",5,12.05
"Батарейка Verbatim CR2025 (Lithium, 4pcs Blister)",6,1.5
"Батарейка Verbatim LR06 AA (Alkaline, 4pcs)",1,1.54
Блок питания 1000W Gigabyte GP-UD1000GM PG5 80+ Gold (ATX),2,198.72
Блок питания 1050W Thermaltake Toughpower GF A3 80+ Gold Full Modular (ATX),13,193.04
Блок питания 1050W Thermaltake Toughpower GF A3 80+ Gold Full Modular (ATX),2,183.14
Блок питания 1200W Be quiet! Pure Power 12M BN346 80+ Gold (ATX),2,225.5
"Блок питания 1200W Enermax PlatiGemini EGN1200P 80+ Platinum (Cable Management, ATX 3.1)",1,308.97
Блок питания 1200W Thermaltake Toughpower GF A3 80+ Gold (ATX),4,215.26
Блок питания 1300W Cooler Master V1300 80+ Platinum (ATX),1,397.18
Блок питания 1300W Gigabyte GP-UD1300GM PG5 80+ Gold (ATX),2,278.64
Блок питания 1300W Gigabyte GP-UD1300GM PG5 80+ Gold (ATX),2,282.72
Блок питания 1300W Seasonic Prime SSR-1300GD 80+ Gold (ATX),1,340
Блок питания 300W CrownMicro CM-PSSFX305W SMART PLUS (SFX),2,9.74
Блок питания 450W CrownMicro CM-PS450W PLUS (ATX),1,18.21
Блок питания 450W CrownMicro CM-PS450W SMART (ATX),3,19.25
Блок питания 450W CrownMicro CM-PS450W SMART (ATX),8,16.41
Блок питания 500W CrownMicro CM-PS500W OEM (ATX),3,23.93
Блок питания 500W CrownMicro CM-PS500W OEM (ATX),5,22.05
Блок питания 500W CrownMicro CM-PS500W OFFICE (ATX),7,19.96
Блок питания 500W CrownMicro CM-PS500W OFFICE (ATX),12,17.5
Блок питания 500W CrownMicro CM-PS500W ONE (ATX),1,12.82
Блок питания 500W CrownMicro CM-PS500W SMART (ATX),1,28.21
Блок питания 600W Accord ACC-600W-12 (ATX),27,26.58
Блок питания 600W Accord ACC-600W-12 (ATX),11,30.66
Блок питания 600W Deepcool PF600 80+ (ATX),6,47.34
Блок питания 600W Deepcool PF600 80+ (ATX),2,50.77
Блок питания 600W Thermaltake Smart W3 80+ (ATX 3.1),1,65.5
Блок питания 600W Thermaltake TR2 S PS-TRS-0600NPCWEU-2 80+ (ATX),3,62.33
Блок питания 600W Xilence Performance XP600R6 (ATX),2,44.87
Блок питания 600W Xilence Performance XP600R6 (ATX),6,44.79
Блок питания 650W Aerocool KCAS PLUS GOLD 650W ARGB 80+ (ATX),1,99.49
Блок питания 650W Cougar Atlas 650 80+ Bronze (ATX),3,63.54
Блок питания 650W Cougar Atlas 650 80+ Bronze (ATX),5,64.56
Блок питания 650W Deepcool PF650 80+ (ATX),6,51.25
Блок питания 650W Thermaltake LT-650P (ATX),1,55.5
Блок питания 700W Chieftec TPS-700S (ATX),2,76.5
Блок питания 700W Cooler Master MPE-7001-ACAAB 80+ Bronze (ATX),5,72.93
Блок питания 700W Deepcool PF700 80+ (ATX),6,54.39
Блок питания 700W Deepcool PF700 80+ (ATX),3,51.88
Блок питания 700W Thermaltake TR2 S 80+ (ATX),8,68.47
Блок питания 700W Thermaltake TR2 S 80+ (ATX),3,66.26
Блок питания 750W Cougar Atlas 750 80+ Bronze (ATX),8,68.49
Блок питания 750W Cougar Atlas 750 80+ Bronze (ATX),9,67.38
Блок питания 750W CrownMicro CM-PS750W PRO 80+ Bronze (ATX),1,57.78
Блок питания 750W Deepcool PF750 80+ (ATX),4,55.74
Блок питания 750W Deepcool PF750 80+ (ATX),10,58.94
Блок питания 750W Thermaltake Berlin W0750RE 80+ White (ATX3.1),1,87.69
Блок питания 750W Thermaltake SMART BM3 80+ Bronze (ATX),2,115
Блок питания 750W Thermaltake SMART BX3 80+ Bronze (ATX),2,93.85
Блок питания 750W Thermaltake Toughpower GT Gen.5 80+ Gold (ATX3.1),4,118.2
Блок питания 750W Thermaltake Toughpower GT Gen.5 80+ Gold (ATX3.1),1,106.08
Блок питания 800W Deepcool PK800D 80+ (ATX),3,67.95
"Блок питания 850W Cougar Gex Pro 850 80+ Gold (ATX3.1, PCIe 5.1)",2,147.69
Блок питания 850W Cougar Gex X2 850 80+ Gold (ATX),2,141.38
Блок питания 850W Deepcool PK850D 80+ Bronze (ATX),2,102.5
"Блок питания 850W MSI MAG A850GL 80+ Gold (Full Modular, ATX 3.0)",2,160.13
Блок питания 850W Thermaltake Toughpower GF Gold Full Modular (ATX),3,138.46
Блок питания 850W Thermaltake Toughpower GF1 ARGB 80+ Gold (ATX),1,182.05
Блок питания 850W Thermaltake Toughpower GT Gen.5 80+ Gold (ATX3.1),6,127.45
Блок питания 850W Thermaltake Toughpower GT Gen.5 80+ Gold (ATX3.1),4,122.82
Блок питания 850W Thermaltake Toughpower GT Snow Gen.5 80+ Gold (ATX3.1),4,134.71
"Блок питания 850W Thermaltake Toughpower GX3 System Pack Gold (ATX, Bulk)",8,123.04
Веб-камера Genius Facecam 1000X V2 (с микрофоном),7,15.09
Веб-камера Genius Facecam 1000X V2 (с микрофоном),13,13.99
"Веб-камера Logitech Brio 105 Full HD (с микрофоном, 960-001592)",8,38.97
"Веб-камера Logitech Brio 105 Full HD (с микрофоном, 960-001592)",2,41.55
Веб-камера Logitech Brio 4K (с микрофоном),2,178.5
Веб-камера Logitech Brio 4K (с микрофоном),5,175.46
"Веб-камера Logitech C920e Full HD (с микрофоном, 960-001360)",1,68.86
"Веб-камера Logitech C925e Full HD (с микрофоном, 960-001076)",1,77.95
Веб-камера Logitech ConferenceCam BCC950 (с микрофоном),1,176.15
Веб-камера Logitech HD Webcam C270 (с микрофоном),26,23
Веб-камера Logitech HD Webcam C270 (с микрофоном),11,24.74
Веб-камера Logitech HD Webcam C310 (с микрофоном),9,26.34
Веб-камера Logitech HD Webcam C310 (с микрофоном),7,28.18
Веб-камера Logitech HD Webcam C525 (с микрофоном),2,60
Веб-камера Logitech HD Webcam C930e (с микрофоном),3,87.25
"Видеокарта 12GB Zotac GeForce RTX3060 Gaming Twin Edge (15000MHz, GDDR6, 192bit, HDMI/3xDP)",3,290.4
"Видеокарта 12GB Zotac GeForce RTX3060 Gaming Twin Edge (15000MHz, GDDR6, 192bit, HDMI/3xDP)",5,345.87
"Видеокарта 12GB Zotac GeForce RTX3060 Gaming Twin Edge (15000MHz, GDDR6, 192bit, HDMI/3xDP)",1,340
"Видеокарта 12GB Zotac GeForce RTX4070 Twin Edge (21000MHz, GDDR6X, 192bit, HDMI/3xDP)",9,631.97
"Видеокарта 12GB Zotac GeForce RTX4070 Twin Edge (21000MHz, GDDR6X, 192bit, HDMI/3xDP)",8,648.75
"Видеокарта 12GB Zotac GeForce RTX5070 SOLID (28000MHz, GDDR7, 192bit, HDMI/3xDP)",5,726.98
"Видеокарта 12GB Zotac GeForce RTX5070 SOLID OC (28000MHz, GDDR7, 192bit, HDMI/3xDP)",11,799.04
"Видеокарта 12GB Zotac GeForce RTX5070 SOLID OC (28000MHz, GDDR7, 192bit, HDMI/3xDP)",2,762.01
"Видеокарта 12GB Zotac GeForce RTX5070 Twin Edge (28000MHz, GDDR7, 192bit, HDMI/3xDP)",1,715.13
"Видеокарта 12GB Zotac GeForce RTX5070 Twin Edge (28000MHz, GDDR7, 192bit, HDMI/3xDP)",3,776.41
"Видеокарта 16GB Acer Predator Bifrost Radeon RX 7800 XT OC DP.Z3AWW.P01 (19500MHz, GDDR6, 256bit, 1xHDMI/3xDP)",1,665.5
"Видеокарта 16GB Zotac GeForce RTX4060Ti Twin Edge (18000MHz, GDDR6, 128bit, HDMI/3xDP)",2,519.63
"Видеокарта 16GB Zotac GeForce RTX4060Ti Twin Edge (18000MHz, GDDR6, 128bit, HDMI/3xDP)",5,549.1
"Видеокарта 16GB Zotac GeForce RTX4070Ti SUPER AMP AIRO (21000MHz, GDDR6X, 256bit, HDMI/3xDP)",3,1018.86
"Видеокарта 16GB Zotac GeForce RTX4070Ti SUPER AMP AIRO (21000MHz, GDDR6X, 256bit, HDMI/3xDP)",2,1018.46
"Видеокарта 16GB Zotac GeForce RTX4070Ti SUPER SOLID (21000MHz, GDDR6X, 256bit, HDMI/3xDP)",5,978.36
"Видеокарта 16GB Zotac GeForce RTX4070Ti SUPER SOLID (21000MHz, GDDR6X, 256bit, HDMI/3xDP)",5,1043.65
"Видеокарта 16GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",8,623.46
"Видеокарта 16GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",8,568.94
"Видеокарта 16GB Zotac GeForce RTX5070 Ti SOLID CORE (28000MHz, GDDR7, 192bit, HDMI/3xDP)",5,1010
"Видеокарта 16GB Zotac GeForce RTX5070 Ti SOLID SFF (28000MHz, GDDR7, 192bit, HDMI/3xDP)",8,1103.11
"Видеокарта 16GB Zotac GeForce RTX5070 Ti SOLID SFF (28000MHz, GDDR7, 192bit, HDMI/3xDP)",2,1039.4
"Видеокарта 1GB Arktek GeForce G210 AKN210D3S1GL1 (460MHz, DDR3, 64bit, VGA/DVI-I/HDMI)",67,27.38
"Видеокарта 1GB Arktek GeForce G210 AKN210D3S1GL1 (460MHz, DDR3, 64bit, VGA/DVI-I/HDMI)",1,28.75
"Видеокарта 2GB Arktek AMD R5 230 AKR230D3S2GL1 (1066MHz, GDDR3, 64bit, VGA/DVI/HDMI)",2,33
"Видеокарта 2GB Arktek GeForce GT610 AKN610D3S2GL1 (810MHz, DDR3, 64bit, VGA/DVI-I/HDMI)",4,35.1
"Видеокарта 2GB Arktek GeForce GT730 AKN730D3S2GL1 (810MHz, DDR3, 128bit, LP, VGA/DVI-I/HDMI)",7,50.14
"Видеокарта 2GB Arktek GeForce GT730 AKN730D3S2GL1 (810MHz, DDR3, 128bit, LP, VGA/DVI-I/HDMI)",38,47.9
"Видеокарта 2GB Arktek GeForce GT740 AKN740D3S2GL1 (5000MHz, GDDR3, 128bit, VGA/DVI/HDMI)",1,61.54
"Видеокарта 2GB Arktek GeForce GT740 AKN740D3S2GL1 (5000MHz, GDDR3, 128bit, VGA/DVI/HDMI)",1,52.05
"Видеокарта 2GB Arktek GeForce GTX750 AKN750D5S2GH1 (5400MHz, DDR5, 128bit, VGA/DVI/HDMI)",1,85.9
"Видеокарта 2GB Arktek GeForce GTX750 AKN750D5S2GH1 (5400MHz, DDR5, 128bit, VGA/DVI/HDMI)",4,76.95
"Видеокарта 4GB Arktek AMD RX550 AKR550D5S4GH1 (6000MHz, GDDR5, 128bit, VGA/DVI/HDMI)",12,77.52
"Видеокарта 4GB Arktek AMD RX550 AKR550D5S4GH1 (6000MHz, GDDR5, 128bit, VGA/DVI/HDMI)",6,77.32
"Видеокарта 6GB Zotac GeForce RTX3050 SOLO (14000MHz, GDDR6, 96bit, HDMI/3xDP)",60,221.79
"Видеокарта 8GB Arktek AMD RX580 AKR580D5S8GH1 (GDDR5, 256bit, DVI/HDMI/DP)",6,140.09
"Видеокарта 8GB Arktek AMD RX580 AKR580D5S8GH1 (GDDR5, 256bit, DVI/HDMI/DP)",15,124.91
"Видеокарта 8GB Zotac GeForce RTX3050 ECO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",2,268.21
"Видеокарта 8GB Zotac GeForce RTX3050 ECO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",1,258.97
"Видеокарта 8GB Zotac GeForce RTX3050 ECO SOLO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",31,250.76
"Видеокарта 8GB Zotac GeForce RTX3050 ECO SOLO (14000MHz, GDDR6, 128bit, HDMI/3xDP)",18,257.12
"Видеокарта 8GB Zotac GeForce RTX4060 Twin Edge (17000MHz, GDDR6, 128bit, HDMI/3xDP)",24,377.73
"Видеокарта 8GB Zotac GeForce RTX4060 Twin Edge (17000MHz, GDDR6, 128bit, HDMI/3xDP)",46,363.65
"Видеокарта 8GB Zotac GeForce RTX4060Ti Twin Edge (18000MHz, GDDR6, 128bit, HDMI/3xDP)",2,478.25
"Видеокарта 8GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",1,522.05
"Видеокарта 8GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",2,515.41
"Гофра для проводки изоляционная (Diameter 8.5mm, 10m, Black)",3,7.43
"Графический планшет WACOM Intuos Pro L PTH-860-R Bluetooth (430 × 287 × 8 mm, Black)",1,666.41
"Графический планшет WACOM One CTL-472-N (210 x 146 x 8.7 mm, Black, USB)",1,63.08
