NAME,QTY,RETAIL,DEALER,CURRENT_COST
KVM-Коммуникатор 2port D-Link KVM-221/RU,2,41.85,36.4,31
"KVM-Коммуникатор 3port LANBERG SWV-HDMI-0003 (3xHDMI, Micro USB, Remote Controller)",10,12.97,11.3,8.64
KVM-Коммуникатор 4port D-Link DKVM-4U/C1A,2,53.21,39.5,48.38
"Автоматический стабилизатор напряжения SVEN VR-L1500 (500W, 2xCEE7/4+1xІЕС 320)",2,33.95,29.5,25.15
"Адаптер Bluetooth Asus USB-BT400 (USB, 10м)",3,13.29,11.7,9.84
"Адаптер Bluetooth ASUS USB-BT500 (USB, Bluetooth 5.0+EDR)",5,14.93,13.8,12.55
"Адаптер Bluetooth TP-Link UB500 (USB, BT 5.0+EDR, 20м)",4,15.19,13,10.4
Адаптер Buro BU-DVI-VGA DVI-D(M)->VGA(F) BLACK,1,7.39,6.3,4.93
"Адаптер Buro BU-HDMI(F)-DP(M) DisplayPort(M) -> HDMI(F), Black",7,13.73,11.8,9.81
"Адаптер CrownMicro CMU3-20 (2xUSB 3.0, 5.25"", 20pin)",5,15.41,13,12.05
"Адаптер CrownMicro CMU3-21 (2xUSB 3.0, 3.5"", 20pin)",9,7.26,4,6.6
Адаптер LANBERG AD-0006-BK DISPLAYPORT MINI(M)->VGA(F) BLACK,14,6.47,5,4.15
Адаптер LANBERG AD-0007-BK DISPLAYPORT(M)->DVI-D(F) (24+5) DUAL LINK,18,6.75,5,3.56
Адаптер LANBERG AD-0009-BK DISPLAYPORT(M)->HDMI(F) 10CM,33,5.33,3.8,2.82
Адаптер LANBERG AD-0015-BK HDMI-A(F)->MICRO HDMI-D(M),28,1.07,0.9,0.72
Адаптер LANBERG AD-0017-BK HDMI-A(M)->VGA(F)+AUDIO ON CABLE,16,6.51,5,3.62
Адаптер LANBERG AD-0019-BK HDMI-AM->HDMI-AF X2 SPLITTER 20CM,46,7.35,6.3,5.32
Адаптер LANBERG AD-0028-W USB->LPT 1.4M WHITE,2,8.45,3.5,4.97
"Адаптер LANBERG AD-0033-BK HDMI-AM->HDMI-AF (90 degrees, Down)",24,1.21,1.3,0.71
"Адаптер LANBERG AD-0036-BK HDMI-AM->HDMI-AF (90 degrees, Right)",41,1.66,1.3,0.92
Адаптер LANBERG AD-LM-UM-01 MICRO USB 2.0 TYPE-A(M)->TYPE-LIGHTNING(F) (Black),10,2.47,1.8,0.99
Адаптер LANBERG AD-LM-UM-02 MICRO USB 2.0 TYPE-A(F)->TYPE-LIGHTNING(M) (Black),8,2.51,1.8,1
"Адаптер LANBERG AD-OTG-UC-01 USB 2.0 TYPE-C(M)->TYPE-A(F) (15cm, Black)",1,3.17,1.8,0.91
"Адаптер LANBERG AD-OTG-UM-01 MICRO USB 2.0 TYPE-C(M)->TYPE-A(F) (15cm, Black)",8,2.32,1.7,0.66
Адаптер LANBERG AD-UC-VG-01 USB TYPE-C->VGA,9,8.94,8,6.62
"Адаптер Ugreen 20122 (DVI(24+5)(M) to VGA(F), Black)",8,3.15,2.7,2.1
"Адаптер Ugreen 20415 (DP(M)->VGA(F), Black)",2,8.89,7.5,6.54
"Адаптер Ugreen 30843 (USB Type-C (M) -> HDMI(F), VGA(F), White)",3,23,19.7,17.04
Адаптер Ugreen 40259 (DVI-D(M) to VGA(F)),3,10.5,9,7.69
"Адаптер Ugreen 90813 (HDMI(M)->VGA(F)+3.5m Audio, Black)",4,7.43,6.7,5.5
Адаптер игровой Genesis NAG-1390 TIN 200 FOR XONE/PS4/PS3/SWITCH CONSOLE,6,15.18,10,18.97
"Аккумулятор для ИБП Armac 12V, 7AH",46,17.97,15.3,11.46
"Аккумулятор для ИБП Armac 12V, 9AH",95,21.22,19,15.64
"Аккумулятор для ИБП CrownMicro 12V, 12AH",5,33.07,31,28.04
"Аккумулятор для ИБП CrownMicro 12V, 18AH",4,54.54,48,40.19
"Аккумулятор для ИБП CrownMicro 12V, 5.0AH",5,13.62,11.3,10.9
"Аккумулятор для ИБП CrownMicro 12V, 7.2AH",13,12.59,9,12.59
"Аккумулятор для ИБП CrownMicro 12V, 9.2AH",9,15.04,9,15.04
"Аккумулятор для ИБП Lightwave 12V, 12AH",9,22.8,21,16.89
"Аккумулятор для ИБП Lightwave 12V, 7.5AH",411,14.93,13.3,8.79
"Аккумулятор для ИБП Lightwave 12V, 9AH",6,19.98,16.3,12.18
Аккумулятор для ИБП Mercury 12V-7.5AH,13,18.29,15.7,13.55
Аккумулятор для ИБП Mercury 12V-9AH,1,23.78,19.3,17.62
"Аккумулятор для ИБП Powercom PM-12-7.2 (12V, 7.2AH)",18,17.18,16.3,13.74
"Аккумулятор для ИБП SVEN SV 1272 12V, 7.2AH",19,16.43,15.3,12.64
"Аккумулятор для ИБП Контакт КТ 12-7.2 12V, 7.2AH",7,16.08,12.3,8.93
Амортизатор для игровых кресел Genesis Nitro 330/350/370/550/560/770/880/TRIT 600,4,0,0,8.48
"Батарейка Verbatim 9V R9 6LR61 (Alkaline, 1pcs Blister)",9,3.24,2.7,1.54
"Батарейка Verbatim CR2025 (Lithium, 4pcs Blister)",4,1.95,1.5,0.97
"Батарейка Verbatim LR03 (Alkaline, 4pcs)",2,1.87,1.6,0.93
"Батарейка Verbatim LR03 AAA (Alkaline, 10pcs Blister)",16,4.68,3.8,2.75
"Батарейка Verbatim LR03 AAA (Alkaline, 4pcs Blister)",16,2.27,1.9,1.1
"Батарейка Verbatim LR03 AAA (Alkaline, 4pcs Shrink)",23,2.1,1.8,0.96
"Батарейка Verbatim LR06 AA (Alkaline, 10pcs Blister)",12,4.94,4.3,3.36
"Батарейка Verbatim LR06 AA (Alkaline, 4pcs Shrink)",11,2.16,1.8,1.34
"Батарейка Verbatim LR06 AA (Alkaline, 4pcs)",2,1.79,1.6,0.89
"Батарейка Verbatim LR6 AA (Alkaline, 4pcs Blister)",47,2.33,2,1.24
"Батарейка-аккумулятор Verbatim HR03 AAA (NIMH, 950mah, Blister of 4)",1,9.91,8,5.83
"Батарейка-аккумулятор Verbatim HR06 AA (NIMH, 2500mah, Blister of 4)",6,18.28,13.5,10.75
"Беспроводное зарядное устройство для смартфонов Buro Q5 (1.0A, Black)",1,5.17,2.8,3.04
Беспроводное зарядное устройство для смартфонов Noname 8000137 (Black),1,25.33,16.7,14.9
Блок питания 1000W Gigabyte GP-UD1000GM PG5 80+ Gold (ATX),3,198.72,178.5,155.83
Блок питания 1300W Gigabyte GP-UD1300GM PG5 80+ Gold (ATX),2,297.82,268,238.26
Блок питания 1300W Seasonic Prime SSR-1300GD 80+ Gold (ATX),2,340.43,307,272.34
Блок питания 300W CrownMicro CM-PSSFX305W SMART PLUS (SFX),5,15.27,9.8,15.27
Блок питания 400W Aerocool CYLON 400 80+ (ATX),1,50.35,43.7,40.28
Блок питания 500W CrownMicro CM-PS500W OEM (ATX),1,23.81,22.5,19.84
Блок питания 500W CrownMicro CM-PS500W OFFICE (ATX),1,21.68,17.5,14.24
Блок питания 550W Xilence XN056 (ATX),1,49.74,39,43.41
Блок питания 600W CrownMicro CM-PS600W PLUS (ATX),2,33.67,30,24.94
Блок питания 600W Deepcool PF600 80+ (ATX),2,50.8,45.5,39.69
Блок питания 600W Thermaltake Smart W3 80+ (ATX 3.1),6,72.3,65.5,57.84
Блок питания 600W Xilence Performance XP600R6 (ATX),9,51.82,45,43.18
Блок питания 650W Aerocool VX-650 PLUS (ATX),1,45.3,41,36.24
Блок питания 650W Cougar Atlas 650 80+ Bronze (ATX),5,68.22,60.5,54.58
Блок питания 650W Thermaltake Toughpower GF A3 GEN 5 80+ Gold (ATX),5,132.82,119.5,106.26
Блок питания 700W Cooler Master MPE-7001-ACAAB 80+ Bronze (ATX),5,73.83,67.5,61.52
Блок питания 700W Deepcool PF700 80+ (ATX),2,55.76,51,45.94
Блок питания 700W Thermaltake Smart W3 80+ (ATX 3.1),4,85.11,77,68.09
Блок питания 700W Thermaltake TR2 S 80+ (ATX),3,69.57,64,55.66
"Блок питания 700W XYZ VOLT 80+ Bronze (ATX, X-PS-VOLTB-PB700)",21,62.47,55.5,44.62
Блок питания 750W Aerocool KCAS PLUS GOLD 750W RGB 80+ (ATX),1,104.35,94,86.74
Блок питания 750W Cougar Atlas 750 80+ Bronze (ATX),3,74.42,65.5,59.54
Блок питания 750W Gigabyte AORUS GP-AP750GM 80+ Gold (ATX),2,149.56,138,123.86
Блок питания 750W Thermaltake Berlin W0750RE 80+ White (ATX3.1),14,87.46,78.8,69.97
Блок питания 750W Thermaltake SMART BX3 80+ Bronze (ATX),13,91.44,84,73.15
"Блок питания 750W XYZ PHANTOM 80+ Bronze (ATX, X-PS-PHANTOM-PBR750)",51,66.38,60,44.25
Блок питания 800W Deepcool PL800D 80+ Bronze (ATX),3,93.53,83,74.82
"Блок питания 850W Cougar Gex Pro 850 80+ Gold (ATX3.1, PCIe 5.1)",3,154.8,144,129
Блок питания 850W Thermaltake Toughpower GT Snow Gen.5 80+ Gold (ATX3.1),1,135.17,122,108.13
"Бумага A4, 500, 80g, Xerox Marathon",1,4.49,4,6.39
