NAME,UPCOMING,PURCHASE
"Док-станция HDD Orico 9728C3-EU-BK-BP (2x2.5""/3.5"", Aluminum Alloy + ABS, up to 40TB, USB 3.0 Type-A)",2,39
"Док-станция HDD Orico 6829C3-V1-EU-BK-BP-HW (2x2.5""/3.5"", ABS plastic, up to 36TB, USB 3.0 Type-A)",10,14.6
"Жесткий диск внешний корпус для SSD Orico AM2C3-G2-GY-BP (Aluminum alloy, M.2 NVMe, up to 4TB, USB 3.2 Gen2 Type-C)",20,9.57
"Жесткий диск внешний корпус для SSD Orico OTPX-G2-GR-BP (Aluminum Alloy + ABS, M.2 NVMe, up to 8TB, USB 3.2 Gen2 Type-C)",5,13.6
"Жесткий диск внешний корпус для SSD Orico AXM2-G2-GY-BP (Aluminum Alloy + ABS, M.2 NVMe, up to 8TB, USB 3.2 Gen2 Type-C)",40,7.03
"Жесткий диск внешний корпус для SSD Orico TXM2-C3-GY-BP (Aluminum Alloy, M.2 NVMe, up to 8TB, USB 3.2 Gen2 Type-C)",10,8.07
"Жесткий диск внешний корпус для SSD Orico M2PV-C3-BK-BP-HW (Aluminum Alloy + ABS Plastic​, M.2 NVMe, up to 2TB, USB 3.1 Gen2 Type-C)",15,8.58
"Жесткий диск внешний корпус для SSD Orico TCM2-C3-SV-BP-HW (Aluminum Alloy​, M.2 NVMe, up to 2TB, USB 3.1 Gen2 Type-C)",10,7.86
"Жесткий диск внешний корпус для SSD Orico PWM2-G2-BK-EP (Aluminum Alloy + ABS Plastic​, M.2 NVMe, up to 8TB, USB 3.2 Gen2 Type-C)",40,6.32
"Жесткий диск внешний корпус для SSD Orico TCM2-U4-BK-BP (Aluminum Alloy, M.2 NVMe, up to 2TB, USB4 Type-C (40Gbps))",5,33.6
"Жесткий диск внешний корпус для HDD/SSD Orico TX25C3-GY-BP (Aluminum Alloy, 2.5"", up to 4TB, USB 3.1 Gen1 Type-C)",20,3.95
"Жесткий диск внешний корпус для HDD/SSD Orico 2020U3-V1-BK-EP-HW (ABS Plastic, 2.5"", up to 2TB, USB 3.0 Micro-B)",50,2.86
"Жесткий диск внешний корпус для HDD/SSD Orico 2139U3-CR-BP-HW (Transparent PC Plastic, 2.5"", up to 2TB, USB 3.0 Micro-B)",20,3.14
"Жесткий диск внешний корпус для HDD/SSD Orico 2577U3-V1-BK-EP-HW (ABS Plastic​, 2.5"", up to 2TB, USB 3.0 Micro-B)",20,3
"Жесткий диск внешний корпус для HDD/SSD Orico 2577C3-V1-BK-EP (ABS Plastic, 2.5"", up to 2TB, USB 3.1 Gen1 Type-C)",10,3.57
"Жесткий диск внешний корпус для HDD/SSD Orico 25PW1-U3-BK-EP-HW (ABS Plastic, 2.5"", up to 4TB, USB 3.0 Micro-B)",30,2.57
"Жесткий диск внешний корпус для HDD/SSD Orico 25PW1-C3-BK-EP (ABS Plastic, 2.5"", up to 4TB, USB 3.1 Gen1 Type-C)",10,2.71
"Жесткий диск внешний корпус для HDD/SSD Orico 2520U3-V1-BK-EP-HW (ABS Plastic, 2.5"", up to 2TB, USB 3.0 Micro-B)",20,2.57
"Жесткий диск внешний корпус для HDD/SSD Orico 3588US3-V1-EU-BK-BP-HW (ABS Plastic, 3.5"", up to 12TB, USB 3.0 Type-B)",5,10.81
"Жесткий диск внешний корпус для HDD/SSD Orico DDL35-C3-EU-BK-BP (Aluminum Alloy + ABS Plastic, 3.5"", up to 16TB, USB 3.1 Gen1 Type-C + USB 3.0)",10,10.71
"Коммуникатор USB-HUB Orico MH4PU-BK-BP (Aluminum Alloy, USB 3.0 Type-A to 4xUSB 3.0 Type-A Ports)",10,7.43
"Коммуникатор USB-HUB Orico MH4PU-SV-BP (Aluminum Alloy, USB 3.0 Type-A to 4xUSB 3.0 Type-A Ports)",10,7.43
"Коммуникатор USB-HUB Orico MH4PC-10-SV-BP (Aluminum Alloy, USB 3.0 Type-A to 4xUSB 3.0 Type-A Ports)",10,8.89
"Коммуникатор USB-HUB Orico MH5PC-10-SV-BP (Aluminum Alloy, USB 3.0 Type-A to 5xUSB 3.0 Type-A Ports)",10,11
"Коммуникатор USB-HUB Orico BT2U3-7AB-EU-GY-BP (Aluminum Alloy + ABS Plastic, USB 3.0 Type-A to 7xUSB 3.0 Type-A Ports w/individual switches)",10,19.29
"Коммуникатор USB-HUB Orico BT2U3-10AB-EU-GY-BP (Aluminum Alloy + ABS Plastic, USB 3.0 Type-A to 10xUSB 3.0 Type-A Ports w/individual switches)",5,25.08
"Коммуникатор USB-HUB Orico BT2U3-16AB-EU-GY-BP (Aluminum Alloy + ABS Plastic, USB 3.0 Type-A to 16xUSB 3.0 Type-A Ports w/individual switches)",5,35.3
"Коммуникатор USB-HUB Orico CT2U3-7AB-EU-BK-BP (ABS Plastic, USB 3.0 Type-A to 7xUSB 3.0 Type-A Ports w/individual switches)",10,15.71
"Коммуникатор USB-HUB Orico CT2U3-10AB-EU-BK-BP (ABS Plastic, USB 3.0 Type-A to 10xUSB 3.0 Type-A Ports w/individual switches)",5,21.11
"Коммуникатор USB-HUB Orico CT2U3-16AB-EU-BK-BP (ABS Plastic, USB 3.0 Type-A to 16xUSB 3.0 Type-A Ports w/individual switches)",5,28.6
"Коммуникатор USB-HUB Orico TWU32-4A-BK-EP-HW (ABS Plastic, USB 3.2 Gen1 Type-A to 4xUSB 3.2 Gen1 Type-A Ports)",30,2.93
"Коммуникатор USB-HUB Orico W5P-U2-030-BK-EP-HW (ABS Plastic, USB 2.0 Type-A to 5xUSB 2.0 Type-A Ports)",20,2.43
"Коммуникатор USB-HUB Orico W5P-U2-100-BK-EP-HW (ABS Plastic, USB 2.0 Type-A to 5xUSB 2.0 Type-A Ports)",40,2.71
"Коммуникатор USB-HUB Orico W5P-U3-100-BK-EP-HW (ABS Plastic, USB 3.0 Type-A to 5xUSB 3.0 Type-A Ports)",20,5.71
"Коммуникатор USB-HUB Orico PW7U-U3-10-BK-EP (ABS Plastic, USB 2.0 Type-A to 7xUSB 3.0 Type-A Ports)",30,6.35
"Коммуникатор USB-HUB Orico CL7U-U3-10-GY-BP (Aluminum Alloy, USB 3.0 Type-A to 7xUSB 3.0 Type-A Ports)",30,7.3
"Коммуникатор USB-HUB Orico FL02-BK-BP-HW (ABS Plastic, USB 2.0 Type-A to 4xUSB 2.0 Type-A Ports)",200,1.3
"Коммуникатор USB-HUB Orico AH-A13-GY-EP-HW (ABS Plastic, USB 3.0 Type-A to 3xUSB 2.0 Type-A Ports)",200,1.8
"Коммуникатор USB-HUB Orico YSZ1-U3-GY-BP (ABS Plastic, USB 3.0 Type-A to 4xUSB 3.0 Type-A Ports)",30,1.29
"Коммуникатор USB-HUB Orico YSA2-U3-GY-BP (ABS Plastic, USB 3.0 Type-A to 2xUSB 3.0 Type-A Ports)",30,2.43
"Коммуникатор USB-HUB Orico YSA7-U3-GY-BP (ABS Plastic, USB 3.0 Type-A to 7xUSB 3.0 Type-A Ports)",20,3.07
"Коммуникатор USB-HUB Orico PAPW4A-U3-015-BK-EP (ABS Plastic, USB 2.0 Type-A to 4xUSB 3.0 Type-A Ports)",40,3.57
"Док-станция Orico PW11-5P-GY-BP (Aluminum Alloy + ABS Plastic, USB-C to 1xUSB-A 3.0; 2xUSB-A 2.0; 1xUSB-C (PD 60W); 1xHDMI (4K@30Hz))",30,7.02
"Док-станция Orico PW11-6P-GY-EP (Aluminum Alloy + ABS Plastic, USB-C to 3xUSB-A 3.0; 1xUSB-C 3.0; 1xUSB-C (PD 100W); 1xHDMI (4K@30Hz))",10,10.71
