Supplier,Source,Brand,Category,Model,Product Name,Price,Currency,Stock,MOQ,Warranty,Notes,Date Added
Proks SIA,Price List,,General,100-000000065,AMD Ryzen 5 5600X TRAY,121.6,USD,60,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CM8071504821112,Intel Core i5-14400 10 Cores 4.7GHz LGA1700 TRAY,212.5,USD,18,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CM8071505092206,Intel Core i3-14100 4 Cores 4.7GHz LGA1700 TRAY,149.9,USD,236,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CM8071504651012,"Intel Core i3 12100 4.3GHz Turbo, LGA1700, TRAY",112.1,USD,58,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CM8071504650608,"Intel Core i5 12400 4.4GHz Turbo, LGA1700 , TRAY",157.0,USD,228,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CM8071504650609,"Intel Core i5 12400F 4.4GHz Turbo, LGA1700 , (no VGA) TRAY",105.1,USD,231,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CM8071504555318,"Intel Core i5 12400F 4.4GHz Turbo, LGA1700 , (no VGA) TRAY",105.1,USD,347,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,AT807680640F,Intel Core Ultra 5 Desktop Processor 245K TRAY,223.1,USD,1,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,PN,HDD INT,0.0,USD,0,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST6000DM003,Seagate Baracuda 6TB; SATA 6Gb/s; 5400; 256MB; 3.5,170.0,USD,40,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST20000DM001,Seagate Baracuda 20TB; SATA 6Gb/s; 7200; 512MB; 3.5,429.7,USD,40,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST4000VN006,Seagate IronWolf 4TB; SATA 6Gb/s; 5400; 256MB; 3.5,155.8,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST6000VN006,Seagate IronWolf 6TB; SATA 6Gb/s; 5400; 256MB; 3.5,200.4,USD,19,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST12000VN0008,Seagate IronWolf 12TB; SATA 6Gb/s; 7200; 256MB; 3.5,334.0,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST12000NT001,Seagate IronWolf Pro 12TB; SATA 6Gb/s; 256MB; 3.5,401.4,USD,24,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST12000NT001 P,Seagate IronWolf Pro 12TB; SATA 6Gb/s; 256MB; 3.5 (P),385.4,USD,10,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST16000NT001,Seagate IronWolf Pro 16TB; SATA 6Gb/s; 256MB; 3.5,439.7,USD,30,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST20000NT001 P,Seagate IronWolf Pro 20TB; SATA 6Gb/s; 256MB; 3.5 (P),500.5,USD,3,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST1000VX013,Seagate SkyHawk. 1TB. SATA 6Gb/s. 256MB. Air. 3.5,85.9,USD,40,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST2000VX017,Seagate SkyHawk. 2TB. SATA 6Gb/s. 256MB. Air. 3.5,114.3,USD,25,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST4000VX016,Seagate SkyHawk. 4TB. SATA 6Gb/s. 256MB. Air. 3.5,174.7,USD,25,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST6000VX009,Seagate SkyHawk. 6TB. SATA 6Gb/s. 256MB. Air. 3.5. RVS,198.3,USD,16,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST8000VX010,Seagate SkyHawk. 8TB. SATA 6Gb/s. 256MB. Air. 3.5. RVS,231.4,USD,25,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST10000VE001,Seagate SkyHawk AI. 10TB. SATA 6Gb/s. 256MB. 3.5. Air. 245Mbs,318.7,USD,22,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST12000VE003,Seagate SkyHawk AI. 12TB. SATA 6Gb/s. 512MB. 3.5. Helium,375.4,USD,20,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,ST16000VE004,Seagate SkyHawk AI. 16TB. SATA 6Gb/s. 512MB. 3.5. Helium. 285Mbs,489.9,USD,25,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WD40EZZX,WD Blue. 3.5''. 4TB. SATA/600. 5400RPM. 128MB. Air,122.8,USD,20,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WD60EZAX,WD Blue. 3.5''. 6TB. SATA/600. 5400RPM. 256MB. Air,186.5,USD,36,NO,,Price DAP EU,02/03/2026
