"Product","Stock","Transit","Sold (30d)","Order Qty","Last Supplier","Last Price","Current Cost","Expected Profit","Margin %","Stock-Out Days","Priority Score","Priority","Sales Period","Transit Time"
"Коврик для мыши Gembird MP-GAME-M, Gaming (350x250mm)","10","0","2","0","Unknown","$0.00","$3.80","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Коврик для мыши Genesis NPG-0658 CARBON 500 M LOGO, Gaming (300x250mm)","12","0","0","0","Unknown","$0.00","$4.41","$0.00","0.0%","∞","9.3","NO","30d","4 weeks (1x)"
"ИБП UPS 650VA CrownMicro CMU-SP650EURO USB","1","0","5","4","""CrownMicro""","$40.68","$51.65","$0.00","0.0%","5.9","71","CRITICAL","30d","4 weeks (1x)"
"ИБП UPS 650VA CrownMicro CMU-SP650IEC","2","0","0","0","Unknown","$0.00","$31.12","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"ИБП UPS 650VA CrownMicro CMU-SP650IEC USB","4","0","0","0","Unknown","$0.00","$48.15","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"ИБП UPS 750VA Lightwave LW UPS 750","87","0","3","0","""TLM INTERNATIONAL FZE"" DUBAI","$18.10","$24.45","$0.00","0.0%","∞","11.1","NO","30d","4 weeks (1x)"
"ИБП UPS 800VA APC BV800I-GR EASY UPS AVR","2","0","0","0","""DG Comp""","$64.50","$64.61","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"ИБП UPS 800VA CrownMicro CMU-SP800EURO LCD","6","0","0","0","""CrownMicro""","$47.31","$59.78","$0.00","0.0%","∞","9.3","NO","30d","4 weeks (1x)"
"ИБП UPS 800VA CrownMicro CMU-SP800EURO USB","26","0","0","0","""CrownMicro""","$45.62","$58.03","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"ИБП UPS 800VA CrownMicro CMU-SP800IEC LCD USB","4","0","5","1","Unknown","$0.00","$52.45","$0.00","0.0%","23.5","26.8","LOW","30d","4 weeks (1x)"
"ИБП UPS 850VA Lightwave LW UPS 850","83","0","1","0","""TLM INTERNATIONAL FZE"" DUBAI","$23.15","$31.27","$0.00","0.0%","∞","12.4","NO","30d","4 weeks (1x)"
"Инструмент Stripping Tool LANBERG NT-0101 UNIVERSAL STRIPPING TOOL FOR UTP STP TELEFON AND DATA CABLE","36","0","0","0","Unknown","$0.00","$1.81","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Инструмент набор отверток Ugreen 80459 (38-in-1, Aluminum Alloy Handle, Magnetic Extension Bar, Screw Bits Dimension)","2","0","2","0","""X-ART""","$9.00","$9.02","$0.00","0.0%","28.6","26.1","LOW","30d","4 weeks (1x)"
"Источник питания Buro T4-10000 (10000mAh, 10W, 2A, 2xUSB-A, Black)","4","0","0","0","Unknown","$0.00","$9.41","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Источник питания Lightwave LW-PB-20K-B01 (20000mAh)","9","0","0","0","""TLM INTERNATIONAL FZE"" DUBAI","$11.60","$15.67","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-C13C-11CC-0018-BK POWER CORD CEE 7/7->IEC 320 C13 1.8M VDE BLACK","310","0","0","0","""Impakt""","$1.73","$2.66","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-C13C-11CC-0030-BK POWER CORD CEE 7/7 / IEC 320 C13 3M VDE BLACK","49","0","0","0","Unknown","$0.00","$4.29","$0.00","0.0%","∞","10","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-C13C-11CC-0050-BK POWER CORD CEE 7/7 / IEC 320 C13 5M VDE BLACK","24","0","1","0","""Impakt""","$4.21","$6.77","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-C13C-12CC-0018-BK POWER CORD CEE 7/7->IEC 320 C13 1.8M ANGLED RIGHT VDE BLACK","35","0","0","0","Unknown","$0.00","$2.75","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-C5CA-15CC-0018-BK POWER CORD LAPTOP (MIKI) IEC 320 C5 1.8M VDE BLACK","70","0","10","0","""Impakt""","$1.60","$2.46","$0.00","40.2%","∞","23","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-C7CA-10CC-0018-BK POWER SUPPLY EURO (RADIO) CEE 7/16->IEC 320 C7 1.8M BLACK","78","0","0","0","""Impakt""","$0.81","$1.25","$0.00","0.0%","∞","15.3","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-CMHD-10CU-0030-BK USB-C(M)->HDMI(M) CABLE 3M 4K 60HZ BLACK","12","0","0","0","Unknown","$0.00","$11.27","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-DPDP-10CC-0018-BK DISPLAYPORT M/M 1.8M 4K BLACK","5","0","0","0","""Impakt""","$2.40","$3.70","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-DPDP-10CC-0030-BK DISPLAYPORT M/M 3M 4K BLACK","27","0","0","0","""Impakt""","$2.71","$4.17","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-DPDP-20CU-0018-BK DISPLAYPORT M/M 1.8M 8K 60HZ BLACK","9","0","0","0","""Impakt""","$4.31","$6.64","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-DVID-10CC-0018-BK DVI-D(M)(24+1)->DVI-D(M)(24+1) DUAL LINK 1.8M BLACK","62","0","0","0","Unknown","$0.00","$4.55","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDDV-20CU-0018-BK HDMI(M)-DVI-D(M) (24+1) 1.8M, DUAL LINK, 4K, Gold Plated, BLACK","12","0","0","0","""Impakt""","$2.24","$3.45","$0.00","0.0%","∞","9.3","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-11CC-0005-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 50CM","27","0","0","0","Unknown","$0.00","$1.15","$0.00","0.0%","∞","9.3","NO","30d","4 weeks (1x)"
"Мышь Logitech G403 HERO (Gaming, USB, Black)","3","0","0","0","""TECHTRADE CIS FZCO""","$40.00","$52.37","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-11CC-0030-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 3.0M","8","0","0","0","""Impakt""","$1.39","$2.14","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-11CC-0050-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 5M","1","0","0","0","""Impakt""","$1.62","$2.49","$0.00","0.0%","∞","9.7","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-13CC-0030-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 3.0M BLAСK","1","0","0","0","Unknown","$0.00","$7.00","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-20CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M","8","0","0","0","Unknown","$0.00","$2.29","$0.00","0.0%","∞","11.1","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-20CU-0075-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 7.5M, 4K","19","0","0","0","""Impakt""","$5.41","$8.06","$0.00","0.0%","∞","10","NO","30d","4 weeks (1x)"
"Коврик для мыши Genesis NPG-0659 CARBON 500 L LOGO, Gaming (400x330mm)","1","0","0","0","""Impakt""","$4.49","$6.91","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Коврик для мыши Genesis NPG-0732 CARBON 500 M FIRE, Gaming (300x250mm)","1","0","0","0","Unknown","$0.00","$4.52","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Коврик для мыши Genesis NPG-1859 CARBON 400 M LOGO, Gaming (350x250mm)","6","0","1","0","""Impakt""","$2.86","$4.40","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Коврик для мыши Genesis NPG-1932 POLON 200 XL (500x400mm)","3","0","0","0","""Impakt""","$5.31","$7.97","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Коврик для мыши Natec NPO-1456 Science Maxi, Gaming (800x400mm)","3","0","1","0","""Impakt""","$6.56","$10.10","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Коврик для мыши Natec NPO-1457 Discoveries Maxi (800x400mm)","8","0","0","0","""Impakt""","$6.56","$10.10","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Коврик для мыши Natec NPO-2085 Colors series (Obsidian Black, 300x250mm)","24","0","3","0","Unknown","$0.00","$2.69","$0.00","62.1%","∞","18.1","NO","30d","4 weeks (1x)"
"Коврик для мыши NATEC NPO-2243 World Deep Blue, Gaming (800x400mm)","5","0","3","0","""Impakt""","$6.56","$10.10","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Коврик для мыши SVEN MP-G01S Soldier (Gaming, 230x200x2mm)","15","0","5","0","""SVEN"" (OOO Regard)","$1.48","$2.07","$0.00","0.0%","∞","10","NO","30d","4 weeks (1x)"
"Коврик для мыши Ugreen 25245 (Ergonomic with wrist support)","3","0","0","0","""X-ART""","$4.57","$4.57","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Колонки CrownMicro 2.0 CMS-601 (6W)","3","0","2","0","""CrownMicro""","$4.49","$5.72","$0.00","0.0%","∞","21.5","NO","30d","4 weeks (1x)"
"Колонки Genesis NCS-1408 HELIUM 610 2.1 Gaming (Bluetooth, 60W)","4","0","0","0","""Impakt""","$48.59","$74.81","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
