Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
KOSATEC,General,SAMSUNG,SM-A165FZKBEUB,Samsung Galaxy A16 128GB 4RAM 4G DE blue black,106.2,USD,45,NO,
KOSATEC,General,iiyama,XUB2792UHSU-B6,"68,5cm/27"" (3840x2160) iiyama ProLite XUB2792UHSU-B6 16:9 4K IPS 4ms 60Hz DP HDMI USB Speaker Pivot Black",270.1,USD,100,NO,
KOSATEC,General,Lexmark,51B2H00,LEXMARK Toner schwarz Rck f. MS/MX 417/517/617 ca. 8.500 S.,195.57,USD,20,NO,
KOSATEC,General,Western Digital,WD240KFGX,24TB WD WD240KFGX Red Pro NAS 7200RPM 512MB,633.66,USD,0,NO,
KOSATEC,General,Digitus,DK-1743-VH-D-1,DIGITUS Instal-kab Cat7 S/FTP tw.Pair 100m oran AWG23/1 Dupl,137.12,USD,200,NO,
KOSATEC,General,AMD,100-300000006,AMD Radeon Pro W7700 16GB GDDR6,1037.76,USD,39,NO,
KOSATEC,General,Gigabyte,GV-N3050OC-6GL,RTX 3050 6GB Gigabyte OC Low Profile GDDR6,224.65,USD,31,NO,
KOSATEC,General,NVIDIA,900-2G193-0000-000,24GB PNY NVIDIA 24GB L4 GPU-Rechenprozessor GDDR6 bulk passiv,2761.28,USD,6,NO,
KOSATEC,General,Microsoft,DG7GMGF0PN5F-0002,Cloud Microsoft Office LTSC Professional Plus 2024 - perpetual,799.97,USD,100,NO,
KOSATEC,General,Sandisk,SDSQXCD-2T00-GN6MA,CARD 2TB Sandisk Extreme PRO microsdxc UHS-I V30 A2 Class U3,363.44,USD,39,NO,
KOSATEC,General,LC-Power,LC6650 V2.3,650W LC-Power LC6650 V2.3 | 80+ Bronce,57.41,USD,30,NO,
KOSATEC,General,LC-Power,LC-NB-GAN-65-C,LC-Power 65W USB-C LC-NB-GAN-65-C,13.85,USD,0,NO,
KOSATEC,General,LC-Power,LC-NB-GAN-90-C,LC-Power 90W USB-C LC-NB-GAN-90-C,16.17,USD,0,NO,
