Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
PHONIX,In Stock,HP,9E4Z3UA#ABA,HP CHROMEBOOK 14A-NF0131WM INTEL PENTIUM N200 1.8GHZ 128GB UFS 4GB DDR5 INTEL UHD GRAPHICS 14 HD (1920x1080) CHROME OS COLOR SILVER.,139.0,USD,1,0,MOQ 0 | ETA 0 | Conditions NEW
PHONIX,In Stock,HP,B19XPUA#ABA,HP PRO 400 G9 SFF DESKTOP INTEL CORE I3-13100 256GB SSD 8GB DDR5 INTEL UHD GRAPHICS FREEDOS BLACK. HP WIRED KEYBOARD & MOUSE,345.99,USD,6,0,MOQ 0 | ETA 0 | Conditions NEW
PHONIX,In Stock,HP,HP9B4Q3AAR,HP DESKTOP M01-F3003W PC INTEL CORE I5-13400 512GB SSD 12GB DDR4 WINDOWS 11 COLOR BLACK. FACTORY REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES.,299.99,USD,30,1,MOQ 1 | ETA 0 | Conditions REFURBISHED
PHONIX,In Stock,HP,BH0Z7UA#ABA,HP 255 G10 DAMAGED BOX AMD RYZEN 5 7530U 2.0GHZ 512GB SSD 16GB DDR4 AMD RADEON GRAPHICS 15.6 FULL HD (1920X1080) WINDOWS 11 COLOR SILVER DAMAGED BOX,370.8,USD,1,0,MOQ 0 | ETA 0 | Conditions DAMAGED BOX
PHONIX,In Stock,AMAZON,B0BP9SNVH9,AMAZON FIRE TV STICK 4K MAX BLACK STREAMING DEVICE SUPPORTS WI-FI 6E AMBIENT EXPERIENCE FREE & LIVE TV WITHOUT CABLE OR SATELLITE COLOR BLACK,43.0,USD,1,1,MOQ 1 | ETA 0 | Conditions NEW
PHONIX,In Stock,DELL,726449664633-R,DELL OPTIPLEX 3050 SFF INTEL CORE I5-6500 256GB SSD 16GB DDR4 INTEL HD GRAPHICS WINDOWS 10 PRO KEYBOARD AND MOUSE INCLUDED COLOR BLACK. OFF LEASE THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES.,99.0,USD,5,0,MOQ 0 | ETA 0 | Conditions REFURBISHED
PHONIX,In Stock,DELL,726449686567-R,DELL OPTIPLEX 5040 SFF INTEL CORE I5-6500 256GB SSD 16GB DDR4 INTEL UHD GRAPHICS WINDOWS 10 PRO KEYBOARD AND MOUSE INCLUDED COLOR BLACK. OFF LEASE,129.0,USD,3,0,MOQ 0 | ETA 0 | Conditions REFURBISHED
PHONIX,In Stock,DELL,DLLA7410-I710016G512SD-R,DELL LATITUDE 7410 INTEL CORE I7-10610U UP TO 4.9GHZ 512GB SSD 16GB DDR4 INTEL UHD GRAPHICS 14 FHD (1920X1080) WINDOWS 10 COLOR BLACK. OFF LEASE THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES.,314.0,USD,3,0,MOQ 0 | ETA 0 | Conditions REFURBISHED
PHONIX,In Stock,DELL,DELL-P2725HE,DELL P2725HE MONITOR 27 FHD (1920X1080) 100HZ HDCP HDMI USB DP COLOR BLACK/SILVER,199.99,USD,12,0,MOQ 0 | ETA 0 | Conditions NEW
PHONIX,In Stock,DELL,DE7320I7-16-512-T-11P-RF,DELL LATITUDE 7320 INTEL CORE I7-1185G7 512GB SSD 16GB DDR4 INTEL INTEGRATED GRAPHICS 13.3 FHD (1920X1080) TOUCHSCREEN WINDOWS 11 PRO COLOR GREY REFURBISHED OFF LEASE GRADE A,279.99,USD,4,0,MOQ 0 | ETA 0 | Conditions REFURBISHED
PHONIX,In Stock,DELL,I3530-5623BLK-PUS,DELL INSPIRON 15 3530 DAMAGED BOX INTEL CORE I5-1334U UP TO 4.6GHZ 512GB SSD 8GB DDR4 INTEL UHD GRAPHICS 15.6 FHD (1920X1080) TOUCHSCREEN WINDOWS 11 COLOR BLACK DAMAGED BOX,364.0,USD,2,0,MOQ 0 | ETA 0 | Conditions DAMAGED BOX
PHONIX,In Stock,DELL,I3530-5623BLK-PUS-DB,DELL INSPIRON 15 3530 DAMAGED BOX INTEL CORE I5-1334U UP TO 4.6GHZ 512GB SSD 8GB DDR4 INTEL UHD GRAPHICS 15.6 FHD (1920X1080) TOUCHSCREEN WINDOWS 11 COLOR BLACK DAMAGED BOX,363.0,USD,2,0,MOQ 0 | ETA 0 | Conditions DAMAGED BOX
PHONIX,In Stock,ECOFLOW,DVX34,YEEDI BY ECOVACS ROBOT VACUUM AND MOP YEEDI BY ECOVACS ROBOT VACUUM AND MOP WITH SELF EMPTYING STATION 3-IN-1 CLEANER AND SMART MAPPING,99.99,USD,2,0,MOQ 0 | ETA 0 | Conditions NEW
PHONIX,In Stock,MICROSOFT,KF8-00001-RA,MICROSOFT SURFACE LAPTOP SE WHITE INTEL CELERON N4120 UP TO 2.6GHZ 128GB EMMC 8GB DDR4 INTEL UHD GRAPHICS 11.6 HD (1366 X 768) WINDOWS 11 SE COLOR GLACIER WHITE. 3RD PARTY REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES.,145.99,USD,10,0,MOQ 0 | ETA 0 | Conditions 3RD PARTY REFURBISHED
PHONIX,In Stock,APPLE,MYMJ3LL/A,APPLE IPHONE 16 PRO 256GB DESERT TITANIUM (A3083) APPLE CHIP A18 PRO 6-CORE CPU 6-CORE GPU 256GB STORAGE 6.3 SUPER RETINA XDR (2622X1206) FRONT CAMERA 12MP REAR CAMERA 48MP ESIM IOS COLOR DESERT TITANIUM,995.0,USD,1,0,MOQ 0 | ETA 0 | Conditions NEW
PHONIX,In Stock,ACER,ZN.N01SI.03S-W11,ACER ASPIRE 3 AMD RYZEN 5 7430U 2.3GHZ 512GB SSD 16GB DDR4 AMD RADEON GRAPHICS 15.6 FULL HD (1920X1080) WINDOWS 11 COLOR PURE SILVER,349.0,USD,1,0,MOQ 0 | ETA 0 | Conditions NEW
PHONIX,In Stock,ACER,NX.J1CAA.002,ACER SWIFT 14 AI COPILOT+ PC SF14-61T-R3U1 AMD RYZEN AI 9 365 1TB SSD 32GB DDR5 AMD RADEON 880M 14 WUXGA (1920 x 1200) TOUCHSCREEN WINDOWS 11 COLOR PURE SILVER,919.99,USD,2,0,MOQ 0 | ETA 0 | Conditions NEW
PHONIX,In Stock,ACER,ZN.N01SI.03U-W11,ACER ASPIRE 3 DAMAGED BOX AMD RYZEN 7 7730U 2.0 GHZ 512GB SSD 16GB DDR4 AMD RADEON GRAPHICS 15.6 FHD (1920X1080) WINDOWS 11 COLOR SILVER. DAMAGED BOX,389.99,USD,2,0,MOQ 0 | ETA 0 | Conditions DAMAGED BOX
PHONIX,In Stock,LENOVO,82XM00BAUS-DB,"LENOVO IDEAPAD SLIM 3 15ABR8 AMD RYZEN 7 7730U UP TO 4.5GHZ 512GB SSD 16GB DDR4 AMD RADEON GRAPHICS 15.6"" FULL HD (1920x1080) TOUCHSCREEN WINDOWS 11 COLOR ABYSS BLUE DAMAGED BOX",455.0,USD,1,0,MOQ 0 | ETA 0 | Conditions DAMAGED BOX
PHONIX,In Stock,LENOVO,82XB008LUS-DB,LENOVO IDEAPAD SLIM 3 15IAN8 INTEL CORE I3-N305 UP TO 3.8GHZ 256GB SSD 8GB DDR5 INTEL UHD GRAPHICS 15.6 FULL HD (1920X1080) WINDOWS 11 COLOR ARCTIC GREY DAMAGED BOX,258.99,USD,1,0,MOQ 0 | ETA 0 | Conditions DAMAGED BOX
PHONIX,Laptops,LENOVO,82RK017QUS,LENOVO IDEAPAD 3 15IAU7 INTEL CORE I7-1255U 512GB SSD 16GB DDR4 INTEL IRIS XE GRAPHICS 15.6 FULL HD (1920X1080) TOUCHSCREEN WINDOWS 11 COLOR ARCTIC GREY,516.11,USD,3,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,20YS002RUS-R,LENOVO THINKPAD T15G GE2 INTEL CORE I7-1365U UP TO 5.2GHZ 512GB SSD 16GB DDR5 NVIDIA GEFORCE RTX 3080 16GB 15.6 FHD (1920X1080) WINDOWS 11 PRO COLOR BLACK. 3RD PARTY REFURBISHED,1179.68,USD,2,1,MOQ 1 | ETA 8 | Conditions 3RD PARTY REFURBISHED
PHONIX,Laptops,LENOVO,83CC002EUS,LENOVO V15 G4 IRU INTEL CORE I7-13620H UP TO 4.9GHZ 512GB SSD 16GB DDR4 INTEL UHD GRAPHICS 15.6 FHD (1920X1080) WINDOWS 11 COLOR BLACK,517.0,USD,30,0,MOQ 0 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,20Y4S1QD00-R,LENOVO THINKPAD P1 G4 MOBILE WORKSTATION INTEL CORE I7-11850H UP TO 4.2GHZ 512GB SSD 64GB DDR4 NVIDIA GEFORCE RTX T1200 4GB 16 WQXGA (2560X1600) WINDOWS 10 PRO COLOR BLACK. 3RD PARTY REFURBISHED,795.88,USD,18,1,MOQ 1 | ETA 8 | Conditions 3RD PARTY REFURBISHED
PHONIX,Laptops,LENOVO,20TDX009US-R,LENOVO THINKPAD E15 G2 INTEL CORE I7-1165G7 UP TO 4.7GHZ 512GB SSD 8GB DDR4 INTEL IRIS XE GRAPHICS 15.6 FHD (1920X1080) WINDOWS 10 PRO COLOR BLACK. FACTORY REFURBISHED,463.59,USD,1,1,MOQ 1 | ETA 8 | Conditions REFURBISHED
PHONIX,Laptops,LENOVO,82TTA0AAIN,LENOVO V15 G3 IAP INTEL CORE I7-1255U UP TO 4.7GHZ 512GB SSD 16GB DDR4 INTEL IRIS XE GRAPHICS 15.6 FHD (1920X1080) FREEDOS COLOR BLACK INDIAN PLUG / US ADAPTER INCLUDED,535.3,USD,180,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21JK0053US,LENOVO THINKPAD E14 G5 2 IN 1 INTEL CORE I7-1355U UP TO 5.0GHZ 512GB SSD 16GB DDR4 INTEL IRIS XE GRAPHICS 14 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR GRAPHITE BLACK,802.95,USD,180,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,726449645984-R,LENOVO THINKPAD T14 G2 INTEL CORE I7-1185G7 512GB SSD 16GB DDR4 INTEL IRIS XE GRAPHICS 14 FHD (1920X1080) WINDOWS 11 PRO COLOR BLACK. OFF LEASE THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES.,404.0,USD,13,1,MOQ 1 | ETA 8 | Conditions REFURBISHED
PHONIX,Laptops,LENOVO,83LY0000US,LENOVO LEGION 5 15IRX10 INTEL CORE I7-14700HX UP TO 5.5GHZ 1TB SSD 16GB DDR5 NVIDIA GEFORCE RTX 5060 8GB 15.1 WQXGA (2560x1600) 165HZ WINDOWS 11 COLOR ECLIPSE BLACK,1209.99,USD,25,0,MOQ 0 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,83LY000LUS,LENOVO LEGION 5 15IRX10 INTEL CORE I7-14700HX UP TO 5.5GHZ 512GB SSD 16GB DDR5 NVIDIA GEFORCE RTX 5060 8GB 15.1 WQXGA (2560X1600) WINDOWS 11 COLOR ECLIPSE BLACK,1079.69,USD,35,1,MOQ 1 | ETA 8 | Conditions NEW
