Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
INOTECH,Mainboard,,,GIGABYTE H310M H,28500,AMD,0,NO,
INOTECH,Mainboard,,,Asrock B460M Pro4 Soc-1200,40500,AMD,0,NO,
INOTECH,Mainboard,,,GIGABYTE B760M DS3H DDR4,45000,AMD,0,NO,
INOTECH,Mainboard,,,ASUS PRO B760M-C-CSM 24/7,60500,AMD,0,NO,
INOTECH,Mainboard,,,GIGABYTE B860M DS3H,67600,AMD,0,NO,
INOTECH,Mainboard,,,GIGABYTE Z790 D,77700,AMD,0,NO,
INOTECH,Mainboard,,,ASUS TUF GAMING Z790-PLUS WIFI,121900,AMD,0,NO,
INOTECH,Mainboard,,,ASUS TUF GAMING Z790-PRO WIFI,132100,AMD,0,NO,
INOTECH,Mainboard,,,GIGABYTE Z890 UD WIFI6E,101500,AMD,0,NO,
INOTECH,Mainboard,,,ASUS TUF GAMING Z890-PLUS WIFI,142700,AMD,0,NO,
INOTECH,Mainboard,,,ASUS TUF GAMING Z890-PRO WIFI,175300,AMD,0,NO,
INOTECH,CPU,,,INTEL CORE i9-12900KS TRAY,144500,AMD,0,NO,
INOTECH,CPU,,,INTEL CORE ULTRA 5 225 TRAY,83500,AMD,0,NO,
INOTECH,CPU,,,INTEL CORE ULTRA 5 225 BOX,85100,AMD,0,NO,
INOTECH,CPU,,,INTEL CORE ULTRA 7 265K TRAY,137700,AMD,0,NO,
INOTECH,Cooler,,,ՊՐՈՑԵՍՈՐԻ ԹԵՐՄՈՄԱԾՈՒԿ ARCTIC MX-4 4G (ACTCP00002B),2100,AMD,0,NO,
INOTECH,Cooler,,,ՊՐՈՑԵՍՈՐԻ ԹԵՐՄՈՄԱԾՈՒԿ ARCTIC MX-4 8G (ACTCP00008B),2800,AMD,0,NO,
INOTECH,Cooler,,,ՊՐՈՑԵՍՈՐԻ ԹԵՐՄՈՄԱԾՈՒԿ ARCTIC MX-6 4G,2500,AMD,0,NO,
INOTECH,Cooler,,,ՊՐՈՑԵՍՈՐԻ ԹԵՐՄՈՄԱԾՈՒԿ ARCTIC MX-6 8G,3400,AMD,0,NO,
INOTECH,Cooler,,,"Case Cooler Deepcool FDC-XFAN80, 80mm",850,AMD,0,NO,
INOTECH,Cooler,,,"Case Cooler Deepcool DP-FDC-XF120, 120mm",1650,AMD,0,NO,
INOTECH,Cooler,,,Case Cooler ARCTIC P12 PWM PST A-RGB BLACK,4800,AMD,0,NO,
INOTECH,Cooler,,,"BE QUIET! SHADOW ROCK 3 (BK004), 190W",23700,AMD,0,NO,
INOTECH,Cooler,,,"QUIET! DARK ROCK 4 (BK021), 200W",31500,AMD,0,NO,
INOTECH,Cooler,,,ARCTIC LIQUID FREEZER II 420 A-RGB BLACK,44000,AMD,0,NO,
INOTECH,Cooler,,,ARCTIC FREEZER 36 CO 24/7,15700,AMD,0,NO,
INOTECH,Cooler,,,ARCTIC FREEZER 34 ESPORT DUO,19500,AMD,0,NO,
INOTECH,Cooler,,,ARCTIC FREEZER 36 A-RGB,15700,AMD,0,NO,
INOTECH,Cooler,,,BE QUIET! DARK ROCK ELITE (BK037),48500,AMD,0,NO,
INOTECH,Cooler,,,ARCTIC FREEZER 36 CO,15500,AMD,0,NO,
INOTECH,Cooler,,,"BE QUIET! PURE ROCK PRO 3 (BK041), 250W",24900,AMD,0,NO,
INOTECH,Cooler,,,"BE QUIET! PURE ROCK PRO 3 LX BLACK (BK043), 250W, ARGB",29200,AMD,0,NO,
INOTECH,Cooler,,,NOCTUA NH-D15,55000,AMD,0,NO,
INOTECH,Cooler,,,"ENERMAX ETS-T41D-ARGB, 250W, ARGB, Temp. display",24500,AMD,0,NO,
INOTECH,Cooler,,,"ENERMAX ETS-TD60D, 280W, Temp. display",33200,AMD,0,NO,
INOTECH,Cooler,,,"ENERMAX LIQMAXFLO SR, ELC-LMF360-SF, 360mm, 370W",36700,AMD,0,NO,
INOTECH,Cooler,,,"ENERMAX AQUAFUSION II, ELC-AQFS360-SQA, ARGB, 360mm, 380W, Temp. display",47900,AMD,0,NO,
INOTECH,Cooler,,,"COOLER MASTER MASTERLIQUID 360L CORE II, MLW-D36M-A18PA-R1, 360mm, ARGB",38400,AMD,0,NO,
INOTECH,HDD,,,"Internal HDD 3.5"" SATA enclosure VANTEC with Key",11000,AMD,0,NO,
INOTECH,HDD,,,HDD Seagate SkyHawk ST4000VX016 4TB SATA,53200,AMD,0,NO,
INOTECH,HDD,,,HDD SEAGATE IRONWOLF ST4000VN006 4TB SATA,62300,AMD,0,NO,
INOTECH,HDD,,,HDD Seagate Exos X16 ST12000NM001G 12TB SATA,155500,AMD,0,NO,
INOTECH,HDD,,,"M.2 SATA SSD SAMSUNG MZ-N6E500BW 500GB 860 EVO M.2 2280,  550/520 MB/s",28900,AMD,0,NO,
INOTECH,HDD,,,"SATA SSD SAMSUNG 870 EVO MZ-77E500B/EU 500GB,  560/530 MB/s",41500,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 980 MZ-V8V250BW 250GB, 2900/1300 MB/s",35200,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 980 MZ-V8V500BW 500GB, 3100/2600 MB/s",46500,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 980 MZ-V8V1T0BW 1TB, 3500/3000 MB/s",63700,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 970 EVO MZ-V7E1T0BW 1TB,  3400/2500 MB/s",56500,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 990 EVO PLUS MZ-V9S1T0BW 1TB,  7150/6300 MB/s",73900,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 990 EVO PLUS MZ-V9S4T0BW 4TB, 7150/6300 MB/s",161000,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 990 PRO MZ-V9P1T0BW 1TB,  7450/6900 MB/s",81700,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 990 PRO MZ-V9P2T0BW 2TB,  7450/6900 MB/s",107500,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 990 PRO MZ-V9P4T0BW 4TB,  7450/6900 MB/s",179500,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 990 PRO MZ-V9P4T0CW 4TB,  w/Heatsink 7450/6900 MB/s",187500,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 9100 PRO MZ-VAP1T0BW 1TB, 14700/13300",89500,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD SAMSUNG 9100 PRO MZ-VAP1T0BW 2TB, 14700/13300",139000,AMD,0,NO,
INOTECH,HDD,,,"M.2 SSD WD BLUE SN5000 WDS500G4B0E 500GB,  5000/4000 MB/s",29500,AMD,0,NO,
INOTECH,HDD,,,"External HDD 3.5"" INTENSO MEMORY CENTER 6TB USB3.0 BLACK",64500,AMD,0,NO,
INOTECH,HDD,,,"External HDD 3.5"" INTENSO MEMORY CENTER 8TB USB3.0 BLACK",86500,AMD,0,NO,
INOTECH,HDD,,,"External SSD SANDISK SDSSDE30-1T00-G26, 1TB, USB-C 3.2 GEN2, 800MB/s",51500,AMD,0,NO,
INOTECH,HDD,,,"External SSD SANDISK EXTREME V2 SDSSDE61-1T00-G25 1TB,  USB-C 3.2 GEN2, 1050MB/s",62100,AMD,0,NO,
INOTECH,HDD,,,"External SSD SANDISK EXTREME V2 SDSSDE61-2T00-G25 2TB,  USB-C 3.2 GEN2, 1050MB/s",82900,AMD,0,NO,
INOTECH,DVD-RW,,,DVD-RW LG GH24NSD5,10500,AMD,0,NO,
INOTECH,VC,,,Տեսաքարտ MSI N730-2GD3V2 PCIE16 GT730 2GB GDDR3,20000,AMD,0,NO,
INOTECH,VC,,,Տեսաքարտ GIGABYTE GV-N730D5-2GI V2.0 2GB GDDR5,26000,AMD,0,NO,
INOTECH,VC,,,Տեսաքարտ VGA MSI N730-4GD3 4GB,28000,AMD,0,NO,
INOTECH,VC,,,ՏԵՍԱՔԱՐՏ ZOTAC GTX 1650 AMP 4GB ZT-T16520J-10L,70100,AMD,0,NO,
INOTECH,VC,,,"GIGABYTE GEFORCE RTX 4060 EAGLE OC 8G, GV-N4060EAGLE OC-8GD",147000,AMD,0,NO,
INOTECH,VC,,,"GIGABYTE GEFORCE RTX 5060 WINDFORCE 8GB, GV-N5060WF2-8GD",152500,AMD,0,NO,
INOTECH,VC,,,"MSI GEFORCE RTX 5060 VENTUS 2X OC 8GB, V537-002R",154700,AMD,0,NO,
INOTECH,VC,,,"GIGABYTE GEFORCE RTX 5060 TI WINDFORCE OC 8G, GV-N506TWF2OC-8GD",191500,AMD,0,NO,
INOTECH,VC,,,"INNO3D GEFORCE RTX 5060 TI 16GB TWIN X2 OC, N506T2-16D7X-191073N",223900,AMD,0,NO,
INOTECH,VC,,,"GIGABYTE GEFORCE RTX 5060 TI WINDFORCE MAX OC 16GB, GV-N506TWF2MAX OC-16GD",227000,AMD,0,NO,
INOTECH,VC,,,"INNO3D GEFORCE RTX 5070 TWIN X2 OC 12GB, N50702-12D7-195064N",273000,AMD,0,NO,
INOTECH,VC,,,"MSI GEFORCE RTX 5070 VENTUS 2X OC 12G, V532-003R",273000,AMD,0,NO,
INOTECH,VC,,,"PALIT GEFORCE RTX 5070 TI GAMINGPRO-S 16GB GDDR7, NE7507T019T2-GB2031U",383900,AMD,0,NO,
INOTECH,VC,,,"PNY GEFORCE RTX 5070 TI VERTO OC 16GB, VCG5070T16TFXPB1-O",399000,AMD,0,NO,
INOTECH,VC,,,"PALIT GEFORCE RTX 5080 GAMING PRO 16GB, NE75080019T2-GB2031A",545500,AMD,0,NO,
INOTECH,VC,,,"NNO3D GEFORCE RTX 5080 X3 OC 16GB, N50803-16D7X-17603930",546500,AMD,0,NO,
INOTECH,VC,,,"PNY GEFORCE RTX 5080 OC 16GB, VCG508016TFXPB1-O",550000,AMD,0,NO,
INOTECH,VC,,,GAINWARD GEFORCE RTX 5090 PHANTOM NE75090019R5-GB2020P 32GB,1381000,AMD,0,NO,
